Date de naissance complète,Année de naissance,Catégorie,Inscription à la lettre d'information,Date d'inscription,Code postal,Ville
,1959,Membres actifs,Oui,2026-02-08,26380,Peyrins
,,Membres actifs,Oui,2026-02-08,26380,Peyrins
,1991,Membres actifs,Oui,2026-02-08,69008,Lyon
,1976,Membres actifs,Oui,2026-02-08,69008,Lyon
,,Membres actifs,Oui,2026-02-13,69008,Lyon
,1989,Membres actifs,Oui,2026-02-13,69008,Lyon
,1936,Membres actifs,Oui,2026-02-13,69008,Lyon
,,Membres actifs,Oui,2026-02-13,69008,Lyon
,1964,Membres actifs,Oui,2026-02-13,69008,Lyon
,1970,Membres actifs,Oui,2026-02-13,69008,Lyon
,,Membres actifs,Oui,2026-02-13,69008,Lyon
,1992,Membres actifs,Oui,2026-02-15,69008,Lyon
,1990,Membres actifs,Oui,2026-02-15,69008,Lyon
,1979,Membres actifs,Oui,2026-02-15,69008,Lyon
,1987,Membres actifs,Oui,2026-02-15,69008,Lyon
,1989,Membres actifs,Oui,2026-02-20,69008,Lyon
,1993,Membres actifs,Oui,2026-02-20,69008,Lyon
,1995,Membres actifs,Oui,2026-02-20,69008,Lyon
,1993,Membres actifs,Oui,2026-02-20,69008,Lyon
,1993,Membres actifs,Oui,2026-02-20,69008,Lyon
,1979,Membres actifs,Oui,2026-02-20,69008,Lyon
,1988,Membres actifs,Oui,2026-02-20,69008,Lyon
,1988,Membres actifs,Oui,2026-02-20,69008,Lyon
,1964,Membres actifs,Oui,2026-02-22,69008,Lyon
,1986,Membres actifs,Oui,2026-02-22,69008,Lyon
,1989,Membres actifs,Oui,2026-03-01,69008,Lyon
,1988,Membres actifs,Oui,2026-02-22,69008,Lyon
,1988,Membres actifs,Oui,2026-02-22,69008,Lyon
,1992,Membres actifs,Oui,2026-02-22,69008,Lyon
,1994,Membres actifs,Oui,2026-02-22,69008,Lyon
,1989,Membres actifs,Oui,2026-02-22,69008,Lyon
,1988,Membres actifs,Oui,2026-02-22,69008,Lyon
,1979,Membres actifs,Oui,2026-02-22,69008,Lyon
,1947,Membres actifs,Oui,2026-02-27,69008,Lyon
,1930,Membres actifs,Oui,2026-03-01,69008,Lyon
,1936,Membres actifs,Oui,2026-02-27,69008,Lyon
,1938,Membres actifs,Oui,2026-02-27,69008,Lyon
,1971,Membres actifs,Oui,2026-03-01,69008,Lyon
,1968,Membres actifs,Oui,2026-03-01,43500,Craponne-sur-Arzon
,1991,Membres actifs,Oui,2026-03-01,69008,Lyon
,1971,Membres actifs,Oui,2026-03-01,69008,Lyon
,1963,Membres actifs,Oui,2026-03-01,69008,Lyon
,1985,Membres actifs,Oui,2026-03-01,69008,Lyon
,1986,Membres actifs,Oui,2026-03-01,69008,Lyon
,1983,Membres actifs,Oui,2026-03-08,69008,Lyon
,1991,Membres actifs,Oui,2026-03-22,69100,Villeurbanne
,1997,Membres actifs,Oui,2026-03-24,69008,Lyon
,1962,Membres actifs,Non,2026-03-22,69008,Lyon
,1970,Membres actifs,Oui,2026-03-22,69008,Lyon
,,Membres actifs,Non,2026-03-22,,
,1986,Membres actifs,Oui,2026-03-22,69008,Lyon
,1988,Membres actifs,Oui,2026-03-22,69008,Lyon
,1978,Membres actifs,Oui,2026-03-22,21000,Dijon
,1975,Membres actifs,Oui,2026-03-17,69008,Lyon
,1978,Membres actifs,Non,2026-03-22,21000,Dijon
,1976,Membres actifs,Oui,2026-03-15,69008,Lyon
,1990,Membres actifs,Oui,2026-03-13,69008,Lyon
,1977,Membres actifs,Oui,2026-03-15,69008,Lyon
,1988,Membres actifs,Oui,2026-03-06,69008,Lyon
,1987,Membres actifs,Oui,2026-03-08,69008,Lyon
,1979,Membres actifs,Oui,2026-03-13,69100,Villeurbanne
,,Membres actifs,Oui,2026-03-17,69002,Lyon
,1960,Membres actifs,Oui,2026-03-06,69008,Lyon
,1984,Membres actifs,Non,2026-03-06,69008,Lyon
,1991,Membres actifs,Oui,2026-03-06,69008,Lyon
,1970,Membres actifs,Non,2026-03-17,69008,Lyon
,1980,Membres actifs,Oui,2026-03-17,69008,LYON
,2001,Membres actifs,Oui,2026-03-17,69200,Vénissieux
,1972,Membres actifs,Oui,2026-03-08,69008,Lyon
,1980,Membres actifs,Oui,2026-03-17,69008,Lyon
,1971,Membres actifs,Oui,2026-03-15,69008,Lyon
,1971,Membres actifs,Oui,2026-03-17,69200,Vénissieux
,1978,Membres actifs,Oui,2026-03-17,69200,Vénissieux
,2007,Membres actifs,Oui,2026-03-17,69008,Lyon
,1973,Membres actifs,Oui,2026-03-17,69008,Lyon
,1983,Membres actifs,Oui,2026-03-17,69008,Lyon
,1989,Membres actifs,Oui,2026-03-08,69008,Lyon 8e Arrondissement
,1982,Membres actifs,Oui,2026-03-08,,
,1980,Membres actifs,Oui,2026-03-17,69008,Lyon 8e Arrondissement
,1976,Membres actifs,Oui,2026-03-08,69008,Lyon 8e Arrondissement
,1987,Membres actifs,Oui,2026-03-06,69008,Lyon
,1984,Membres actifs,Oui,2026-03-06,69008,Lyon 8e Arrondissement
,1979,Membres actifs,Oui,2026-03-13,69006,Lyon
,1994,Membres actifs,Non,2026-03-30,69600,Oullins-Pierre-Bénite
,1979,Membres actifs,Oui,2026-03-27,69008,Lyon 8e Arrondissement
,1942,Membres actifs,Non,2026-03-30,69008,Lyon 8e Arrondissement
,1960,Membres actifs,Oui,2026-03-31,69008,Lyon 8e Arrondissement
,1943,Membres actifs,Oui,2026-03-31,69008,Lyon 8e Arrondissement
,1937,Membres actifs,Oui,2026-03-31,69008,Lyon 8e Arrondissement
,1963,Membres actifs,Oui,2026-04-01,69008,Lyon 8e Arrondissement
,1993,Membres actifs,Oui,2026-04-03,69008,Lyon 8e Arrondissement
,1993,Membres actifs,Oui,2026-04-03,69008,Lyon 8e Arrondissement
,1990,Membres actifs,Non,2026-04-03,63380,Villossanges
,1997,Membres actifs,Oui,2026-04-06,69100,Villeurbanne
,2000,Membres actifs,Oui,2026-04-03,69003,Lyon 3e Arrondissement
,1985,Membres actifs,Oui,2026-04-05,69008,Lyon 8e Arrondissement
,2001,Membres actifs,Oui,2026-04-05,69008,Lyon 8e Arrondissement
,1999,Membres actifs,Oui,2026-04-05,69008,Lyon 8e Arrondissement
,1979,Membres actifs,Oui,2026-04-05,69200,Vénissieux
,1948,Membres actifs,Oui,2026-04-07,69007,Lyon 7e Arrondissement
,,Membres actifs,Oui,2026-04-13,69008,Lyon 8e Arrondissement
,1989,Membres actifs,Oui,2026-04-20,69008,Lyon 8e Arrondissement
,1994,Membres actifs,Oui,2026-04-17,69008,Lyon 8e Arrondissement
,1974,Membres actifs,Oui,2026-04-17,69008,Lyon 8e Arrondissement
